Bytes,Time
5825050,7.68
5825050,7.57
5825050,7.43
5825050,7.43
5825050,7.56
2660003,6.87
2660003,6.84
2660003,6.83
2660003,6.91
2660003,6.81
8756493,8.03
8756493,1.83
8756493,1.87
8756493,2
8756493,1.63
1307305,6.59
1307305,6.75
1307305,6.6
1307305,6.59
1307305,7.44
2359772,6.79
2359772,6.9
2359772,6.75
2359772,0.63
2359772,6.85
5975954,7.65
5975954,7.45
5975954,7.66
5975954,1.22
5975954,7.58
5375220,7.42
5375220,1.2
5375220,7.32
5375220,1.19
5375220,1.22
614795,6.45
614795,0.2
614795,0.23
614795,6.41
614795,6.49
253056,6.36
253056,6.38
253056,6.36
253056,6.41
253056,6.36
2272682,6.89
2272682,6.74
2272682,6.78
2272682,6.89
2272682,0.62
6960316, 1.51
6960316, 7.54
6960316, 7.69
6960316, 1.57
6960316, 7.61
6227960, 7.49
6227960, 7.57
6227960, 7.62
6227960, 7.61
6227960, 7.61
2109896, 6.79
2109896, 6.78
2109896, 6.67
2109896, 6.75
2109896, 0.69
6414998, 7.44
6414998, 1.26
6414998, 1.38
6414998, 7.67
6414998, 7.44
10826933, 8.43
10826933, 8.40
10826933, 8.38
10826933, 2.31
10826933, 8.30
10407912, 8.59
10407912, 8.50
10407912, 8.67
10407912, 2.17
10407912, 2.33
4462088, 7.50
4462088, 7.36
4462088, 7.30
4462088, 7.22
4462088, 1.08
4182449, 0.94
4182449, 1.06
4182449, 7.10
4182449, 7.50
4182449, 7.30
411256, 0.22
411256, 6.44
411256, 6.38
411256, 6.46
411256, 6.44
6005867, 8.06
6005867, 1.74
6005867, 8.13
